gvkey,conm,ind2d,sector_name,markup,weight,markup_base,weight_base,markup_change,contribution
008079,OCEANEERING INTERNATIONAL,21,"Mining, Quarrying, and Oil and Gas Extraction",1.165508541081211,0.00038361510702471344,1.1759448092762914,7.123135370773146e-05,-0.010436268195080478,-4.00351014059441e-06
002519,BUTLER NATIONAL CORP,56,Administrative and Support and Waste Management and Remediation Services,1.3068217309314925,8.548242409648153e-06,1.7855227739067767,3.1825083822829384e-06,-0.47870104297528426,-4.092052557104128e-06
002865,CENTRAL STEEL & WIRE CO,42,Wholesale Trade,1.1849371748966646,8.680133148736937e-05,1.233673491887761,0.0004770284965139053,-0.04873631699109637,-4.230377206617668e-06
001019,AFA PROTECTIVE SYSTEMS INC,56,Administrative and Support and Waste Management and Remediation Services,1.2212514621120618,1.2670630158555104e-05,1.5634127129804667,1.200867821051252e-05,-0.3421612508684049,-4.335398664342149e-06
003895,DETREX CORP,32,Manufacturing,0.4850707990840588,6.33683494694951e-06,1.1783558614400957,7.58347134751735e-05,-0.6932850623560369,-4.393233011335805e-06
007481,MOCON INC,33,Manufacturing,2.0689562280239637,1.0691593575480238e-05,2.480556358585791,2.1581043416542437e-06,-0.4116001305618271,-4.4006613115816575e-06
004130,DYNASIL CORP OF AMERICA,33,Manufacturing,1.3411684329351314,7.336232378354669e-06,1.983702966044179,1.816305127322264e-06,-0.6425345331090475,-4.713782646005594e-06
007549,MOOG INC  -CL A,33,Manufacturing,1.2351829723877161,0.0004073138970109946,1.2482736723056336,0.00013443440028813037,-0.013090699917917448,-5.332023998168463e-06
011580,WOODWARD INC,33,Manufacturing,1.1681834770384436,0.0003416456500054557,1.1838629285329338,0.00013329672557763585,-0.015679451494490237,-5.356816397564132e-06
005237,GORMAN-RUPP CO,33,Manufacturing,1.1417541170813736,6.452192903251109e-05,1.2249937110430988,5.9327003745779575e-05,-0.0832395939617252,-5.370779174293472e-06
007882,NPK INTERNATIONAL INC,53,Real Estate and Rental and Leasing,0.9328322428622606,7.962350309526986e-05,1.0116218452866101,0.00018542905458220071,-0.07878960242434951,-6.2735041525102755e-06
004771,FLEXSTEEL INDUSTRIES INC,33,Manufacturing,1.0829075521502634,8.445499355023801e-05,1.161065783037011,8.927219188978307e-05,-0.07815823088674767,-6.600852885438288e-06
004091,DUCOMMUN INC,33,Manufacturing,1.0700432321701718,9.2989219402467e-05,1.144293141986314,0.00034703152439788723,-0.07424990981614221,-6.904441154506637e-06
006900,MTS SYSTEMS CORP,33,Manufacturing,1.3828404205118223,0.00010979304525781855,1.4490490999642005,6.672139256281037e-05,-0.06620867945237818,-7.269252539575359e-06
008073,OCEAN BIO-CHEM INC,32,Manufacturing,0.5552124101905132,6.1140898959148014e-06,1.8148247871023397,4.5487116372436125e-06,-1.2596123769118266,-7.701383306445825e-06
011538,J. ALEXANDER'S HOLDINGS INC,72,Accommodation and Food Services,0.8988329676997956,3.708173146042712e-05,1.1083312552720013,6.168382856088264e-05,-0.20949828757220568,-7.768559241171868e-06
003581,CRAWFORD & CO,52,Finance and Insurance,1.1348419718300824,0.00019886421467616404,1.1743521391204246,0.000134705653734388,-0.03951016729034218,-7.857158389917762e-06
008515,PHI GRP INC,48,Transportation and Warehousing,0.8637358983288721,0.00010708278345034619,0.9399501235186183,0.00015146772566979643,-0.07621422518974619,-8.16123137182951e-06
010008,STANDEX INTERNATIONAL CORP,33,Manufacturing,1.2802091924232688,0.00012692347378845525,1.3453848907180084,0.00034525695056998926,-0.06517569829473957,-8.272326034156646e-06
010297,TRC COS INC,54,"Professional, Scientific, and Technical Services",0.8335705493536197,0.00010484790247582509,0.9179109854290213,7.279130942430475e-06,-0.08434043607540154,-8.84291781640226e-06
008357,PARKER DRILLING CO,21,"Mining, Quarrying, and Oil and Gas Extraction",1.0474583076202737,7.210995282185345e-05,1.1857868124659199,0.0003806291948438802,-0.13832850484564618,-9.974861958337073e-06
011343,WEIS MARKETS INC,44,Retail Trade,1.0628098874521918,0.0005297110359981736,1.0818936469314342,0.0006804328115219196,-0.019083759479242346,-1.010887800448943e-05
003107,CLEVELAND-CLIFFS INC,33,Manufacturing,1.0830241169524568,0.0003576755254674092,1.111516591912693,0.000374861333102028,-0.028492474960236214,-1.0191060953269487e-05
005520,ALLIENT INC,33,Manufacturing,1.2126536558777252,4.152498016230295e-05,1.4599541895190808,1.0929626039685397e-05,-0.24730053364135562,-1.0269149753584226e-05
006433,KIMBALL INTERNATIONAL  -CL B,33,Manufacturing,1.2513160658348366,0.00010725233313286237,1.347108861636475,0.00021376162608416696,-0.09579279580163846,-1.0274000847045589e-05
006311,PRIMEENERGY RESOURCES CORP,21,"Mining, Quarrying, and Oil and Gas Extraction",1.257784069190321,9.576348452634737e-06,2.354308475516335,4.71166242547165e-06,-1.0965244063260138,-1.0500699801796346e-05
005888,TELIGENT INC,32,Manufacturing,0.785567132311669,1.1294474418690177e-05,1.7521651665450304,3.278887811905619e-08,-0.9665980342333614,-1.0917216770804913e-05
003639,CUBIC CORP,33,Manufacturing,1.0845960037556948,0.0002468374867480268,1.1289044064527343,0.0001951295944936051,-0.044308402697039506,-1.0936974763556723e-05
001618,AMREP CORP,23,Construction,1.1210898769312676,7.154861502834368e-06,2.7234992427650666,4.252021970384517e-05,-1.602409365833799,-1.1465017083385482e-05
010441,TENNANT CO,33,Manufacturing,1.5120689269198173,0.00013654693813892066,1.5961789877411319,9.945363534693364e-05,-0.08411006082131456,-1.1484971271828894e-05
001262,ALGOMA CENTRAL CORP,48,Transportation and Warehousing,1.0028888089200743,6.407154157905426e-05,1.1838730759012766,0.00013154500460418447,-0.1809842669812023,-1.159594098704076e-05
011124,VEECO INSTRUMENTS INC,33,Manufacturing,1.464988997281819,5.614239193445026e-05,1.6716390596869202,0.00010457366834534263,-0.2066500624051011,-1.160182879682579e-05
001050,CECO ENVIRONMENTAL CORP,33,Manufacturing,1.2303365585790234,7.042239308342293e-05,1.3959967657718215,2.7522785572662313e-06,-0.16566020719279817,-1.166618822921252e-05
003342,COMPUTER TASK GROUP INC,54,"Professional, Scientific, and Technical Services",0.9218318502395714,5.4866040838377235e-05,1.1423728358381124,2.4775475027232304e-05,-0.22054098559854107,-1.210021072238552e-05
010030,STARRETT (L.S.) CO  -CL A,33,Manufacturing,1.1063236786900768,3.541038364383083e-05,1.4696811274383188,0.00010959136029992548,-0.36335744874824205,-1.286662666001885e-05
004759,FLANIGANS ENTERPRISES INC,72,Accommodation and Food Services,0.9727705450959193,1.7498405381436265e-05,1.7459656429667245,5.233303668274816e-05,-0.7731950978708052,-1.3529681261482637e-05
007759,GP STRATEGIES CORP,61,Educational Services,1.086467977274089,8.284275169866232e-05,1.2513107322779546,7.241075971765025e-05,-0.16484275500386558,-1.3656027422108662e-05
008582,SENECA FOODS CORP,31,Manufacturing,1.0147972603217865,0.00021036336460801124,1.086518500141224,0.00027006211701932094,-0.07172123981943757,-1.5087521322274959e-05
001072,AVX CORP,33,Manufacturing,1.1331211748854468,0.00022167455757109294,1.2014388168448287,0.0001402350509081016,-0.06831764195938184,-1.5144283055646304e-05
005567,HEICO CORP,33,Manufacturing,1.4093153088906822,0.00023241444916370426,1.4797198861182725,2.146479193957487e-05,-0.0704045772275903,-1.6363041034953876e-05
007762,NATIONAL PRESTO INDS INC,33,Manufacturing,1.1305654226034045,5.773892848674908e-05,1.4199114337409895,0.00011719738642117926,-0.28934601113758496,-1.6706528644999123e-05
007022,MARCUS CORP,51,Information,1.0362863718850848,9.1844590171297e-05,1.2275826943102779,0.00010467203497969979,-0.19129632242519312,-1.7569532334418155e-05
011094,VALMONT INDUSTRIES INC,33,Manufacturing,1.1638348511307053,0.000425845981283548,1.2052559334362651,0.00015149057852424305,-0.04142108230555985,-1.7639001440237742e-05
010685,TRANSCAT INC,54,"Professional, Scientific, and Technical Services",1.0482342526871462,2.4300657584376418e-05,1.8252612257610903,7.230444426435512e-06,-0.7770269730739441,-1.888226640649439e-05
007152,MCDERMOTT INTL INC,54,"Professional, Scientific, and Technical Services",0.914456165616165,0.00044514948283671277,0.9590659831018857,0.003576610825226649,-0.04460981748572068,-1.9858037183208707e-05
008699,POWELL INDUSTRIES INC,33,Manufacturing,1.0395386516350802,9.545495138893993e-05,1.2482186963676185,4.551692444345345e-05,-0.20868004473253832,-1.9919543525786255e-05
004036,DONALDSON CO INC,33,Manufacturing,1.3151975738841397,0.0003749513546719965,1.3705048087340004,0.00023292821574830624,-0.055307234849860665,-2.0737522630117512e-05
010221,SILVERBOW RESOURCES INC,21,"Mining, Quarrying, and Oil and Gas Extraction",0.5190311764732731,2.77651115055114e-05,1.2780945566069433,3.974409468976507e-07,-0.7590633801336701,-2.107547938916174e-05
007512,MONARCH CEMENT CO,32,Manufacturing,0.5056475939251963,2.790341946365956e-05,1.2973570185100451,3.863523444792064e-05,-0.7917094245848488,-2.209140016752358e-05
005559,STERLING INFRASTRUCTURE INC,23,Construction,1.002705950154561,0.00011654395970828367,1.1927742205710772,0.0004295760346590604,-0.1900682704165162,-2.215130884924563e-05
001706,ENERPAC TOOL GROUP CORP,33,Manufacturing,1.3074637436875056,0.00019410567786944983,1.4237303494075018,0.0001861315314558423,-0.11626660571999614,-2.2568008316859904e-05
