ind2d,year,theta_c
33,1976.0,0.9479346145295354
33,1977.0,0.9499440368335367
33,1978.0,0.9433368292611687
33,1979.0,0.9366259184568416
33,1980.0,0.9303364590496114
33,1981.0,0.9148741195771464
33,1982.0,0.9117094337663959
33,1983.0,0.9139896105520068
33,1984.0,0.9107794865463437
33,1985.0,0.9141970502873047
33,1986.0,0.9107836799819401
33,1987.0,0.9183177291202034
33,1988.0,0.9207718228458011
33,1989.0,0.9147511175354913
33,1990.0,0.9141967603862997
33,1991.0,0.9211645449259053
33,1992.0,0.9274300338356025
33,1993.0,0.9337172043065933
33,1994.0,0.9288023893585431
33,1995.0,0.9217050737929254
33,1996.0,0.9221499549079636
33,1997.0,0.9197513129420597
33,1998.0,0.9106070139495295
33,1999.0,0.911213285583085
33,2000.0,0.9108067720408701
33,2001.0,0.9163991586655534
33,2002.0,0.920512781612493
33,2003.0,0.926687535779142
33,2004.0,0.9345056853558931
33,2005.0,0.9315782550994541
33,2006.0,0.9233210621121867
33,2007.0,0.9229870024388764
33,2008.0,0.9367403330872853
33,2009.0,0.9255791827893012
33,2010.0,0.9345966108759547
33,2011.0,0.9412508857163151
33,2012.0,0.9376944698629534
33,2013.0,0.9362109727340371
33,2014.0,0.9381848609320533
33,2015.0,0.936137899983782
33,2016.0,0.935505070546672
42,1955.0,0.9690087950477683
42,1956.0,0.9314569123468027
42,1957.0,0.9302027154908659
42,1958.0,0.9436017392629594
42,1959.0,0.9508569907333476
42,1960.0,0.956354007665011
42,1961.0,0.9616199148473095
42,1962.0,0.9598670574004444
42,1963.0,0.9601168985635293
42,1964.0,0.9607557466687606
42,1965.0,0.9674992178910083
42,1966.0,0.9729178208607014
42,1967.0,0.9751751255410122
42,1968.0,0.9720857384712067
42,1969.0,0.964839587810453
42,1970.0,0.9593838714646504
42,1971.0,0.9709062851340218
42,1972.0,0.976582958739742
42,1973.0,0.9732584404438593
42,1974.0,0.9770210827468808
42,1975.0,0.9840879933695003
42,1976.0,0.977830563246165
42,1977.0,0.979615508428327
42,1978.0,0.9775544931957918
42,1979.0,0.9726520313761176
42,1980.0,0.9659211677156294
42,1981.0,0.9603416092963781
42,1982.0,0.9558988506630551
42,1983.0,0.9587028190348802
42,1984.0,0.9587628751467375
42,1985.0,0.9620218842468315
42,1986.0,0.9663570923074533
42,1987.0,0.9658826645714015
42,1988.0,0.9670019295848652
42,1989.0,0.9668269776453396
42,1990.0,0.9679870965855563
42,1991.0,0.9717590792150427
42,1992.0,0.97703686444834
42,1993.0,0.9797432987779232
42,1994.0,0.9781728503458385
42,1995.0,0.9766289205750323
42,1996.0,0.9766196173987873
42,1997.0,0.9748323653630377
42,1998.0,0.9726807400167573
42,1999.0,0.9752887350776154
42,2000.0,0.9742443715868786
42,2001.0,0.9761390953710373
42,2002.0,0.9777520381558259
42,2003.0,0.9795168136723186
42,2004.0,0.9823571437251513
42,2005.0,0.9814933178187779
42,2006.0,0.9809186313053682
42,2007.0,0.9806858406322093
42,2008.0,0.9842824579803291
42,2009.0,0.9807546246270196
42,2010.0,0.9814840335098007
42,2011.0,0.9830715686270544
42,2012.0,0.9824870920865563
42,2013.0,0.9830109047792013
42,2014.0,0.9839621271076471
42,2015.0,0.9807633958682782
42,2016.0,0.9818345481676425
44,1955.0,0.9765257976018482
44,1956.0,0.9838149624428347
44,1957.0,0.9844992804753837
44,1958.0,0.9836795411331883
44,1959.0,0.9794884180093668
44,1960.0,0.9776367556357586
44,1961.0,0.9780684837950078
44,1962.0,0.9766390797071063
44,1963.0,0.9760734204442053
44,1964.0,0.9767917478805963
44,1965.0,0.9756615134428346
44,1966.0,0.975279074199981
44,1967.0,0.9776715142278751
44,1968.0,0.9773782152378767
44,1969.0,0.9715724705975433
44,1970.0,0.9732033907132482
44,1971.0,0.9790972910461353
44,1972.0,0.976678772339027
44,1973.0,0.9723741526555914
44,1974.0,0.9734996263213817
44,1975.0,0.9824269643436945
44,1976.0,0.9779554162822592
44,1977.0,0.978082423958507
44,1978.0,0.9699050532216673
44,1979.0,0.9638670732186313
44,1980.0,0.9592152780796459
44,1981.0,0.9504747503128648
44,1982.0,0.9530241031871614
44,1983.0,0.958583230570844
44,1984.0,0.9552192767427139
44,1985.0,0.9559723772548157
44,1986.0,0.9550820838306876
44,1987.0,0.9545076325613577
44,1988.0,0.955902412557377
44,1989.0,0.950301882298338
44,1990.0,0.9529171189028944
44,1991.0,0.9572130868714723
44,1992.0,0.9591356844031971
44,1993.0,0.9608261329995151
44,1994.0,0.9563889398449297
44,1995.0,0.9499795454861396
44,1996.0,0.9473088035340245
44,1997.0,0.9466492046981427
44,1998.0,0.9411370832135152
44,1999.0,0.9408289181173576
44,2000.0,0.9422394983323017
44,2001.0,0.949512826474112
44,2002.0,0.952144723966951
44,2003.0,0.9580186981772914
44,2004.0,0.9575850550486538
44,2005.0,0.9543834049551734
44,2006.0,0.944383918642856
44,2007.0,0.9429032245439601
44,2008.0,0.95346624637249
44,2009.0,0.9509207138702669
44,2010.0,0.9524734332928062
44,2011.0,0.9566853963772919
44,2012.0,0.9592113019745182
44,2013.0,0.9585583408633142
44,2014.0,0.9654210894672632
44,2015.0,0.9627301410903627
44,2016.0,0.9690910706456662
45,1955.0,0.9708154612205288
45,1956.0,0.9690203433804128
45,1957.0,0.9660485927093949
45,1958.0,0.9685337709741334
45,1959.0,0.9633095908105201
45,1960.0,0.9631947461968414
45,1961.0,0.9674466248374565
45,1962.0,0.963279217832099
45,1963.0,0.9608728122468492
45,1964.0,0.959346195361459
45,1965.0,0.95532370127779
45,1966.0,0.9570997139646991
45,1967.0,0.958169116810918
45,1968.0,0.9611599246698022
45,1969.0,0.9524772728690916
45,1970.0,0.9583181616393392
45,1971.0,0.964089988665001
45,1972.0,0.9618204042931621
45,1973.0,0.9565885368687599
45,1974.0,0.9628281967831251
45,1975.0,0.9766179569172205
45,1976.0,0.9694728707092235
45,1977.0,0.970508206003648
45,1978.0,0.9584273792673781
45,1979.0,0.9540670980447228
45,1980.0,0.9499785717156704
45,1981.0,0.9417009530660867
45,1982.0,0.9480092726177757
45,1983.0,0.9501517179469121
45,1984.0,0.9451364680078674
45,1985.0,0.9515285381524057
45,1986.0,0.949137128934413
45,1987.0,0.9477339951706022
45,1988.0,0.9496891560328715
45,1989.0,0.9447786652224256
45,1990.0,0.9501000731704146
45,1991.0,0.955401028704793
45,1992.0,0.9608612132003875
45,1993.0,0.9612035646558428
45,1994.0,0.9550836124582045
45,1995.0,0.9500872124658288
45,1996.0,0.9499211106080483
45,1997.0,0.9504157112689899
45,1998.0,0.9467764004321532
45,1999.0,0.9448997207702663
45,2000.0,0.94492142171387
45,2001.0,0.9517171339604952
45,2002.0,0.9568704213216923
45,2003.0,0.9613533384385573
45,2004.0,0.9602214024448996
45,2005.0,0.9558758935377303
45,2006.0,0.9507466453795452
45,2007.0,0.9477476208585702
45,2008.0,0.9525052233261291
45,2009.0,0.9496489602954836
45,2010.0,0.9512490729638765
45,2011.0,0.9582244831141142
45,2012.0,0.9554685280196494
45,2013.0,0.9514642770628097
45,2014.0,0.9497627198854762
45,2015.0,0.949275216591305
45,2016.0,0.9626780271334159
48,1955.0,0.8726285008514775
48,1956.0,0.8624589314327002
48,1957.0,0.851728263085475
48,1958.0,0.845847766517343
48,1959.0,0.8082258402462494
48,1960.0,0.8729347461972337
48,1961.0,0.8896607851429529
48,1962.0,0.7974940476716869
48,1963.0,0.86320641568922
48,1964.0,0.8605963277156822
48,1965.0,0.8686330041205075
48,1966.0,0.7966235282854336
48,1967.0,0.7961981126827578
48,1968.0,0.8004634190239099
48,1969.0,0.7927506828102393
48,1970.0,0.8100209492517803
48,1971.0,0.8528650981059561
48,1972.0,0.864505544183945
48,1973.0,0.8399922448261619
48,1974.0,0.8622019302680812
48,1975.0,0.9069240710520869
48,1976.0,0.8788011141770196
48,1977.0,0.8847276584566329
48,1978.0,0.8459739416942303
48,1979.0,0.8486463051739831
48,1980.0,0.8331773828547386
48,1981.0,0.8095129207310416
48,1982.0,0.7862889250022611
48,1983.0,0.7976041712152648
48,1984.0,0.7703911532510139
48,1985.0,0.8170598046294568
48,1986.0,0.7955198387816094
